#YY,MM,DD,hh,mm,WDIR,WSPD,GDR,GST,GTIME
2012,1,2,8,20,201,11.7,999,99,9999
2012,1,2,8,30,202,12.4,999,99,9999
2012,1,2,8,40,205,12.6,999,99,9999
2012,1,2,8,50,214,12.3,212,17,845
2012,1,2,9,0,213,13.2,999,99,9999
2012,1,2,9,10,219,13.2,999,99,9999
2012,1,2,9,20,219,12.6,999,99,9999
2012,1,2,9,30,217,12,999,99,9999
2012,1,2,9,40,221,11.9,999,99,9999
2012,1,2,9,50,222,12.6,214,16.8,854
2012,1,2,10,0,224,13.4,999,99,9999
2012,1,2,10,10,228,13.3,999,99,9999
2012,1,2,10,20,230,13.1,999,99,9999
2012,1,2,10,30,231,13.4,999,99,9999
2012,1,2,10,40,229,13.2,999,99,9999
2012,1,2,10,50,226,12.3,227,18.1,1024
2012,1,2,11,0,231,12.9,999,99,9999
2012,1,2,11,10,243,13.8,999,99,9999
2012,1,2,11,20,245,14.4,999,99,9999
2012,1,2,11,30,244,13.5,999,99,9999
2012,1,2,11,40,248,14.8,999,99,9999
2012,1,2,11,50,251,15,251,19.2,1110
2012,1,2,12,0,248,14.5,999,99,9999
2012,1,2,12,10,250,13.8,999,99,9999
2012,1,2,12,20,250,13.2,999,99,9999
2012,1,2,12,30,250,13,999,99,9999
2012,1,2,12,40,259,13.8,999,99,9999
2012,1,2,12,50,258,12.9,241,18.8,1159
2012,1,2,13,0,257,13.1,999,99,9999
2012,1,2,13,10,261,13.5,999,99,9999
2012,1,2,13,20,265,13.6,999,99,9999
2012,1,2,13,30,264,12.6,999,99,9999
2012,1,2,13,40,259,13.5,999,99,9999
2012,1,2,13,50,260,13.6,249,17.3,1256
2012,1,2,14,0,262,12,999,99,9999
2012,1,2,14,10,262,12.7,999,99,9999
2012,1,2,14,20,262,11.9,999,99,9999
2012,1,2,14,30,264,12.4,999,99,9999
2012,1,2,14,40,263,12,999,99,9999
2012,1,2,14,50,264,10.7,271,15.2,1408
2012,1,2,15,0,260,10.9,999,99,9999
2012,1,2,15,10,260,11,999,99,9999
2012,1,2,15,20,260,10.9,999,99,9999
2012,1,2,15,30,255,10.5,999,99,9999
2012,1,2,15,40,257,10.2,999,99,9999
2012,1,2,15,50,258,10.1,260,14,1455
2012,1,2,16,0,261,9.5,999,99,9999
2012,1,2,16,10,261,9.2,999,99,9999
2012,1,2,16,20,267,9.2,999,99,9999
2012,1,2,16,30,262,8.5,999,99,9999
2012,1,2,16,40,262,8.2,999,99,9999
2012,1,2,16,50,262,7.8,267,11.6,1616
2012,1,2,17,0,260,7.6,999,99,9999
2012,1,2,17,10,258,7,999,99,9999
2012,1,2,17,20,256,6.7,999,99,9999
2012,1,2,17,30,256,6.6,999,99,9999
2012,1,2,17,40,250,6.5,999,99,9999
2012,1,2,17,50,249,6.5,267,9.4,1657
2012,1,2,18,0,247,6.9,999,99,9999
2012,1,2,18,10,246,6.8,999,99,9999
2012,1,2,18,20,242,6.4,999,99,9999
2012,1,2,18,30,240,6.2,999,99,9999
2012,1,2,18,40,242,6.1,999,99,9999
2012,1,2,18,50,237,6.1,253,8.9,1756
2012,1,2,19,0,233,5.7,999,99,9999
2012,1,2,19,10,226,5.4,999,99,9999
2012,1,2,19,20,218,5.4,999,99,9999
2012,1,2,19,30,218,5.6,999,99,9999
2012,1,2,19,40,216,5.6,999,99,9999
2012,1,2,19,50,220,5.9,224,7.6,1948
2012,1,2,20,0,227,6.4,999,99,9999
2012,1,2,20,10,227,6.5,999,99,9999
2012,1,2,20,20,226,7,999,99,9999
2012,1,2,20,30,228,7,999,99,9999
2012,1,2,20,40,225,6.8,999,99,9999
2012,1,2,20,50,219,6.2,233,9.2,2020
2012,1,2,21,0,218,5.8,999,99,9999
2012,1,2,21,10,219,6.1,999,99,9999
2012,1,2,21,20,216,6.3,999,99,9999
2012,1,2,21,30,207,5.7,999,99,9999
2012,1,2,21,40,206,5.8,999,99,9999
2012,1,2,21,50,205,6.1,219,7.8,2147
2012,1,2,22,0,199,6,999,99,9999
2012,1,2,22,10,191,6.2,999,99,9999
2012,1,2,22,20,193,6.1,999,99,9999
2012,1,2,22,30,188,5.8,999,99,9999
2012,1,2,22,40,191,5.6,999,99,9999
2012,1,2,22,50,189,5.8,212,7.6,2159
2012,1,2,23,0,181,5.5,999,99,9999
2012,1,2,23,10,174,5.9,999,99,9999
2012,1,2,23,20,177,5.9,999,99,9999
2012,1,2,23,30,180,6.3,999,99,9999
2012,1,2,23,40,182,6,999,99,9999
2012,1,2,23,50,180,6.4,182,7.8,2324
2012,1,3,0,0,181,6.9,999,99,9999
2012,1,3,0,10,185,6.4,999,99,9999
2012,1,3,0,20,196,6.6,999,99,9999
2012,1,3,0,30,200,6.5,999,99,9999
2012,1,3,0,40,200,6.8,999,99,9999
2012,1,3,0,50,196,6.6,208,8.4,44
2012,1,3,1,0,196,6.6,999,99,9999
2012,1,3,1,10,199,6.5,999,99,9999
2012,1,3,1,20,203,6.1,999,99,9999
2012,1,3,1,30,201,6,999,99,9999
2012,1,3,1,40,201,6.1,999,99,9999
2012,1,3,1,50,198,5.9,200,8.4,102
2012,1,3,2,0,195,5.9,999,99,9999
2012,1,3,2,10,199,5.4,999,99,9999
2012,1,3,2,20,198,5.3,999,99,9999
2012,1,3,2,30,194,5.3,999,99,9999
2012,1,3,2,40,193,5.2,999,99,9999
2012,1,3,2,50,188,5.1,188,6.8,155
2012,1,3,3,0,187,5.2,999,99,9999
2012,1,3,3,10,193,5.5,999,99,9999
2012,1,3,3,20,197,8.1,999,99,9999
2012,1,3,3,30,196,7.4,999,99,9999
2012,1,3,3,40,192,6.7,999,99,9999
2012,1,3,3,50,192,5.2,202,10.3,317
2012,1,3,4,0,199,4.9,999,99,9999
2012,1,3,4,10,197,4.6,999,99,9999
2012,1,3,4,20,193,4.4,999,99,9999
2012,1,3,4,30,184,4.6,999,99,9999
2012,1,3,4,40,183,4.8,999,99,9999
2012,1,3,4,50,178,5.6,173,6.6,447
2012,1,3,5,0,177,5.9,999,99,9999
2012,1,3,5,10,180,6.2,999,99,9999
2012,1,3,5,20,181,6.5,999,99,9999
2012,1,3,5,30,182,6.7,999,99,9999
2012,1,3,5,40,183,7.1,999,99,9999
2012,1,3,5,50,185,7.5,188,8.8,546
2012,1,3,6,0,185,7.9,999,99,9999
2012,1,3,6,10,188,7.9,999,99,9999
2012,1,3,6,20,190,7.8,999,99,9999
2012,1,3,6,30,188,8.5,999,99,9999
2012,1,3,6,40,186,8.8,999,99,9999
2012,1,3,6,50,186,8.3,186,10.1,625
2012,1,3,7,0,186,8.1,999,99,9999
2012,1,3,7,10,189,8.3,999,99,9999
2012,1,3,7,20,188,8.9,999,99,9999
2012,1,3,7,30,185,8.8,999,99,9999
